FilePath,FileName,Date,Time,Bbar,Malc,Mbec,MbraMmys,Mdau,Mnat,NSL,Paur,Ppip,Ppyg,Rfer,Rhip
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_203517_000,NA,NA,0.01,0.00,0.00,0.01,0.00,0.00,0.93,0.15,0.92,0.00,0.00,0.00
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_203517_000,NA,NA,0.01,0.00,0.00,0.01,0.00,0.00,0.93,0.15,0.00,0.00,0.00,0.00
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_205021_000,NA,NA,0.16,0.01,0.00,0.17,0.04,0.05,0.06,0.11,0.98,0.03,0.00,0.00
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_205053_000,NA,NA,0.01,0.00,0.00,0.10,0.03,0.24,0.09,0.02,0.98,0.07,0.00,0.00
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_205336_000,NA,NA,0.02,0.00,0.00,0.02,0.00,0.00,0.20,0.29,0.49,0.02,0.00,0.00
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_205350_000,NA,NA,0.01,0.00,0.00,0.03,0.00,0.00,0.27,0.01,0.98,0.04,0.00,0.00
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_205405_000,NA,NA,0.00,0.00,0.01,0.08,0.01,0.01,0.18,0.00,0.97,0.04,0.00,0.00
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_205411_000,NA,NA,0.36,0.00,0.00,0.02,0.00,0.02,0.06,0.01,0.95,0.02,0.00,0.00
C:/some/path/place_1/30.04.22/Analyse_Ergebnisse,O0 0000000000_20220430_205413_000,NA,NA,0.02,0.00,0.00,0.16,0.01,0.01,0.28,0.01,0.96,0.05,0.00,0.00
